dataResult,HomeWin,Draw,AwayWin
AwayWin,0.21,0.25,0.54
AwayWin,0.16,0.21,0.63
AwayWin,0.43,0.28,0.29
AwayWin,0.17,0.22,0.61
HomeWin,0.72,0.19,0.09
Draw,0.55,0.25,0.2
Draw,0.81,0.13,0.07
Draw,0.28,0.29,0.43
Draw,0.77,0.15,0.08
HomeWin,0.44,0.29,0.27
AwayWin,0.1,0.17,0.73
Draw,0.42,0.3,0.28
AwayWin,0.34,0.3,0.36
HomeWin,0.46,0.29,0.26
HomeWin,0.48,0.28,0.24
AwayWin,0.39,0.3,0.3
HomeWin,0.44,0.29,0.27
Draw,0.13,0.23,0.64
HomeWin,0.74,0.16,0.1
HomeWin,0.36,0.32,0.32
AwayWin,0.24,0.27,0.48
AwayWin,0.2,0.25,0.54
AwayWin,0.58,0.25,0.18
HomeWin,0.52,0.25,0.24
HomeWin,0.45,0.26,0.29
Draw,0.81,0.13,0.06
HomeWin,0.65,0.21,0.14
Draw,0.38,0.31,0.31
HomeWin,0.75,0.16,0.09
AwayWin,0.47,0.29,0.24
Draw,0.23,0.28,0.49
HomeWin,0.41,0.29,0.3
Draw,0.45,0.29,0.26
AwayWin,0.1,0.19,0.71
Draw,0.75,0.16,0.09
AwayWin,0.45,0.28,0.26
HomeWin,0.35,0.3,0.35
HomeWin,0.23,0.25,0.52
AwayWin,0.48,0.27,0.25
AwayWin,0.37,0.32,0.32
HomeWin,0.56,0.26,0.18
HomeWin,0.7,0.19,0.11
HomeWin,0.56,0.25,0.19
AwayWin,0.09,0.19,0.72
HomeWin,0.75,0.17,0.08
AwayWin,0.2,0.25,0.55
AwayWin,0.09,0.16,0.75
AwayWin,0.75,0.17,0.08
AwayWin,0.53,0.27,0.19
HomeWin,0.54,0.27,0.18
Draw,0.61,0.24,0.15
HomeWin,0.38,0.3,0.32
Draw,0.15,0.23,0.62
HomeWin,0.65,0.21,0.14
